Source,Name of Descriptor,Definition,Formula
Expose,instance_consistency,"A single example is consistent within the dataset if and only if there does not exist any other example that is identical, but has a different target value",
Expose,instance_incoherence,"Incoherence is a measure for how dissimilar the examples are in their attribute space. An example is called incoherent within a dataset if it does not overlap with any other example in a predefined number δ of attributes.",
Expose,instance_minimality,"An example is subsumed by another example if its attributes form a true subset of another example with the same label. It is useful mostly for relational representations. An example that is not subsumed by another example is minimal.",
Expose,instance_similarity,"The overall similarity of examples in a dataset is defined as the normalized weighted sum of four different local similarity measures",
Expose,instance_uniqueness,"An example is unique if and only if there does not exist another identical example.",
DMOP,AverageAbsoluteFeatureCorrelation,"METAL characteristic: Average absolute correlation between continuous features.",
DMOP,AverageCategoricalFeaturePairsMutualInformation,"METAL characteristic: Average mutual information between pairs of categorical features. ",
DMOP,AverageFeatureEntropy,"METAL characteristic: Average feature Entropy",
DMOP,BetweenGroupsSumSquaresCrossProducts,"METAL characteristic: A matrix containing the difference between the matrix of total and the matrix of within-groups sums of squares and cross products.",
DMOP,EigenValuesLinearDiscriminantFunctions,"METAL characteristic: A vector of eigen values of linear discriminant functions.",
DMOP,NumberOfHOutliers,"METAL characteristic: Number of continuous features with outliers.",
DMOP,NumberOfInstancesPerFeature,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006. ",
DMOP,TotalSumSquaresCrossProducts,"METAL characteristic: Matrix of total sums of squares and cross products of features.",
DMOP,WithinGroupsSumSquaresCrossProducts,"METAL characteristic: matrix of within-groups sums of squares and cross products of features. ",
DMOP,AverageSVMFeatureWeight,,
DMOP,AverageReliefFeatureWeight,,
DMOP,CanonicalCorrelationBestLinearCombination,"METAL characteristic: Canonical correlation of the best linear combination of features to distinguish between classes.",
DMOP,ClassAbsoluteFrequencies,"METAL characteristic: Absolute class frequencies. Stored in a vector indexed by each class value.",
DMOP,ClassCovarianceMatrices,"METAL characteristic: Class covariance matrices. Stored in a vector indexed by class and each containing a matrix of (features x features)",
DMOP,ClassRelativeFrequencies,"METAL characteristic: Relative class frequencies. Stored in a vector indexed by each class value.",
DMOP,ErrorRateOf1NNClassifier,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",
DMOP,ErrorRateOfLinearClassifierLP,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",
DMOP,FeatureValueFrequenciesPerClass,"METAL characteristic: For each k value of each j categorical feature and each i class, the proportion of cases that have the k value in the j feature and belong to the i class. It is stored in a vector indexed by each categorical feature and containing a flat contingency tables that combine the values of the categorical feature with the class values. ",
DMOP,MaximumFeatureEfficiency,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",
DMOP,MaximumFishersDiscriminantRatio,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",
DMOP,MinimumSumOfErrorDistanceByLP,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",
DMOP,NonLinearityOf1NNClassifier,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",
DMOP,ProportionPointsWithRetainedAdherence,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",
DMOP,RatioOfAverageIntraInterDistances,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",
DMOP,VolumeOfOverlapRegion,"From Mitra Basu and Tin Kam Ho. Data Complexity in Pattern Recognition. Springer, 2006.",
