TID	CS
10964	44
10965	1
10967	124
10970	404
10971	136
10972	11
10977	29
10978	2
10979	570
10980	1083
10981	98
10982	139
10983	57
10984	10
10985	44
10989	61
10991	47
10992	18
10993	1
10994	4
10997	18
10999	4
11000	11
11002	6
11003	268
11004	89
11005	22
11006	259
11007	5
11009	16
11010	22
11013	5
11016	89
11017	549
11018	343
11019	349
11024	428
11027	6
11028	3
11029	2
11030	2
11031	78
11033	12
11034	3
11035	75
11036	122
11037	367
11038	8
11039	224
11042	92
11043	29
11044	25
11045	7
11046	311
11047	123
11049	10
11053	4
11054	145
11055	36
11056	36
11058	40
11060	141
11061	96
11063	131
11066	8
11067	1
11068	7
11080	14
11081	427
11082	637
11084	176
11085	137
11087	2
11088	39
11089	25
11090	19
11092	38
11094	48
11096	56
11097	48
11098	13
11099	2
11102	7
11104	29
11105	375
11107	44
11108	3
11109	417
11110	209
11111	5
11112	101
11113	50
11114	43
11115	13
11117	34
11118	11
11119	87
11120	55
11125	8
11126	7
11134	86
11138	24
11140	653
10932	2
10951	4
10956	19
11064	11
11141	17
11142	31
11149	532
11150	118
11152	36
11153	9
11154	225
11156	216
11158	10
11159	4
11160	273
11162	4
11163	42
11164	4
11165	39
11168	27
11170	2
11173	5
11174	13
11176	35
11177	434
11179	9
11180	148
11184	65
11185	4
11186	5
11188	25
11189	13
11191	13
11192	98
11195	20
11196	2
11199	38
11200	3
11202	17
11203	134
11204	36
11205	13
11206	141
11208	127
11209	124
11212	6
11213	216
11214	55
11215	2
11221	79
11223	24
11225	371
11226	7
11227	6
11228	9
11229	33
11230	25
11231	46
11232	126
11234	4
11235	21
11236	4
11238	7
11239	34
11241	1
11242	509
11143	7
11169	16
11237	6
11243	59
11249	19
11250	17
11251	34
11254	19
11255	4
11257	6
11260	63
11261	320
11262	20
11265	299
11267	77
11269	138
11272	414
11274	4
11275	10
11279	162
11280	315
11281	42
11282	18
11286	72
11287	49
11288	382
11289	245
11290	294
11291	271
11292	6
11293	4
11294	3
11296	84
11298	13
11299	55
11300	278
11302	4
11303	2
11305	15
11307	200
11308	34
11316	4
11320	140
11324	13
11325	3
11326	3
11327	6
11328	3
11329	8
11330	2
11336	317
11337	5
11343	34
11344	2
11346	43
11352	6
11353	20
11354	1
11356	18
11357	2
11359	150
11360	13
11361	111
11362	517
11364	490
11365	999
11377	12
11379	324
11382	120
11384	2
11387	26
11390	54
11391	11
11392	12
11395	64
11396	60
11398	341
11399	196
11259	6
11277	7
11313	7
11318	2
11400	406
11401	3
11402	78
11403	10
11405	2
11406	16
11407	619
11408	466
11409	444
11410	5
11413	6
11414	41
11415	94
11416	26
11418	7
11421	12
11423	7
11426	138
11427	71
11430	222
11431	12
11433	5
11440	47
11441	37
11442	129
11444	5
11446	12
11447	38
11450	8
11451	764
11452	35
11453	42
11454	2
11458	4
11461	1
11462	7
11463	13
11464	2
11471	4
11472	324
11473	354
11476	32
11480	132
11483	39
11487	6
11488	66
11489	388
11490	29
11491	8
11492	17
11498	83
11499	8
11500	34
11502	3
11504	2
11505	15
11507	76
11512	121
11514	3
11515	13
11517	69
11518	14
11520	57
11521	332
11522	274
11523	169
11524	113
11530	32
11531	49
11533	15
11534	370
11535	136
11536	232
11538	47
11539	16
11540	50
11541	135
11542	6
11546	7
11547	2
11551	6
11553	2
11555	4
11556	38
11558	15
11559	9
11560	46
11562	212
11564	2
11565	129
11567	50
11569	139
11570	1
11572	2
11573	299
11574	73
11575	285
11578	11
11579	10
11580	5
11581	25
11582	4
11583	25
11584	13
11588	5
11589	31
11590	10
11591	3
11592	4
11593	17
11594	15
11596	102
11597	13
11598	18
11599	12
11600	15
11601	7
11602	18
11603	14
11604	2
11606	19
11607	26
11615	12
11617	229
11618	18
11619	7
11622	379
11624	182
11626	353
11627	168
11628	19
11443	5
11528	12
11605	4
11629	373
11631	301
11632	30
11633	20
11634	133
11635	415
11636	253
11637	126
11638	559
11639	193
11643	11
11645	4
11652	8
11653	53
11654	3
11659	4
11661	2
11663	402
11666	2
11668	27
11670	14
11676	14
11677	166
11678	755
11680	133
11682	142
11683	19
11684	93
11685	77
11690	6
11691	391
11692	29
11694	35
11695	11
11696	13
11709	4
11710	3
11711	2
11712	19
11716	4
11717	15
11718	9
11720	505
11722	46
11723	50
11726	48
11727	183
11729	26
11731	4
11736	312
11737	7
11740	2
11742	10
11744	5
11748	114
11749	18
11751	40
11752	473
11754	7
11755	537
11756	7
11757	244
11758	51
11759	27
11760	4
11762	48
11765	10
11766	39
11770	4
11771	6
11774	5
11775	3
11780	23
11781	3
11784	41
11785	225
11787	19
11797	68
11802	16
11806	15
11807	4
11810	18
11811	33
11814	8
11815	22
11816	2
11821	12
11827	38
11831	25
11832	20
11835	7
11836	13
11837	8
11839	33
11840	13
11842	459
11843	116
11845	11
11847	15
11848	24
11854	3
11858	8
11861	2
11862	254
11863	69
11864	9
11866	18
11867	7
11868	332
11869	244
11870	153
11871	151
11872	370
11873	141
11881	8
11882	39
11888	4
11890	26
11891	82
11894	21
11895	4
11896	15
11897	7
11898	12
11899	32
11902	544
11904	36
11907	81
11908	114
11909	15
11910	114
11912	131
11913	16
11919	304
11920	32
11922	39
11923	133
11924	56
11925	127
11926	420
11929	11
11930	78
11931	7
11934	2
11938	13
11939	394
11940	17
11941	152
11942	213
11943	8
11944	320
11947	9
11949	27
11950	24
11959	15
11965	22
11966	36
11967	11
11968	140
11969	552
11975	3
11977	23
11978	198
11979	4
11987	8
11989	25
11997	26
12000	105
12005	2
12012	28
12013	61
12014	13
12016	1
12017	15
12018	3
12019	90
12020	69
12021	39
12023	94
12026	21
12028	21
12029	8
12030	152
12037	115
12038	159
12046	20
12049	7
12050	216
12051	27
12052	10
12054	108
12056	17
12060	8
12067	132
12071	616
12074	10
12075	4
12076	213
12077	21
12078	38
12081	9
12082	3
12083	30
12088	100
12090	590
12097	245
12100	20
12102	16
12103	93
12104	56
12109	93
12114	83
12118	7
12119	12
12127	7
12128	104
12129	16
12130	7
12131	36
11892	1
11915	1
11921	6
12132	6
12133	4
12135	30
12136	11
12146	4
12155	3
12158	7
12159	86
12160	7
12161	69
12162	30
12163	127
12166	333
12167	342
12169	46
12170	36
12171	100
12172	3
12173	53
12178	2
12179	104
12180	4
12181	2
12186	19
12197	4
12198	680
12199	12
12200	43
12202	20
12203	6
12209	233
12214	207
12216	5
12226	167
12227	238
12229	108
12230	14
12232	62
12235	10
12236	140
12238	24
12239	161
12240	33
12241	18
12243	5
12244	9
12247	592
12252	606
12261	664
12262	8
12263	34
12264	9
12265	101
12268	328
12272	3
12274	24
12275	7
12276	121
12282	7
12283	77
12291	36
12294	102
12295	8
12296	5
12298	36
12299	22
12301	6
12302	2
12311	12
12327	35
12336	9
12345	24
12347	8
12363	3
12364	7
12366	49
12371	10
12376	85
12378	64
12384	1
12387	28
12388	240
12390	15
12391	9
12392	3
12394	9
12395	29
12396	44
12399	16
12405	21
12406	24
12407	16
12353	1
12408	2
12409	25
12411	60
12412	7
12413	29
12415	301
12420	2
12425	370
12426	7
12434	10
12436	25
12440	7
12443	79
12447	3
12448	69
12449	44
12450	6
12451	7
12452	6
12453	205
12454	7
12456	323
12457	8
12459	3
12464	184
12469	61
12470	8
12471	166
12472	2
12474	202
12475	10
12476	190
12478	19
12479	8
12480	44
12482	22
12483	10
12485	45
12487	2
12488	8
12500	28
12502	95
12504	13
12506	14
12507	72
12508	6
12511	35
12512	488
12514	293
12515	11
12516	4
12517	1
12518	66
12523	2
12525	7
12528	4
12536	79
12538	13
12543	196
12545	25
12546	41
12547	10
12553	6
12566	128
12567	11
12568	102
12569	164
12570	23
12571	1
12572	1
12573	2
12576	370
12577	8
12578	12
12579	23
12583	4
12584	9
12585	6
12587	102
12588	5
12589	5
12591	3
12592	504
12593	22
12594	618
12598	20
12608	22
12614	10
12615	40
12619	16
12620	36
12622	152
12627	383
12630	3
12632	5
12633	6
12635	46
12640	47
12641	20
12642	55
12643	91
12644	22
12648	10
12649	3
12651	280
12652	8
12654	12
12657	48
12659	188
12661	33
12665	431
12666	768
12669	56
12670	714
12673	32
12677	2
12678	3
12679	88
12683	105
12685	5
12687	504
12688	98
12689	211
12690	84
12692	2
12694	457
12697	355
12698	6
12699	412
12700	31
12702	9
12703	65
12704	20
12705	6
12708	140
12709	3
12710	2
12711	3
12712	4
12713	5
12715	1
12717	9
12718	103
12719	24
12721	21
12723	57
12724	573
12725	43
12729	3
12731	5
12732	5
12733	4
12735	366
12737	36
12738	192
12739	20
12741	25
12742	307
12743	6
12744	59
12748	3
12751	7
12752	15
12753	17
12754	176
12755	22
12757	29
12758	4
12761	26
12763	5
12770	38
12780	125
12783	10
12784	2
12786	277
12414	4
12458	5
12505	10
12510	5
12605	4
12674	2
12693	5
12720	9
12722	4
12787	9
12788	31
12789	83
12793	32
12795	40
12801	7
12802	95
12804	4
12806	119
12807	53
12808	2
12809	41
12810	10
12811	7
12812	4
12818	28
12819	3
12821	20
12822	11
12823	15
12824	237
12825	192
12828	118
12829	338
12830	8
12831	40
12832	224
12838	5
12839	12
12840	611
12841	3
12845	18
12847	110
12848	3
12850	3
12851	19
12853	33
12854	46
12855	29
12856	5
12857	9
12860	2
12861	97
12862	141
12863	9
12864	5
12865	254
12866	38
12867	12
12868	9
12869	7
12877	14
12879	148
12883	46
12886	82
12887	38
12891	6
12894	183
12895	146
12896	118
12898	5
12899	69
12900	45
12906	20
12907	13
12908	13
12909	57
12910	176
12911	851
12912	595
12913	291
12914	21
12915	311
12919	115
12920	164
12921	15
12923	73
12930	33
12932	4
12933	12
12936	4
12938	41
12939	4
12942	3
12943	65
12944	457
12945	17
12946	249
12947	574
12948	24
12949	150
12950	23
12951	5
12952	315
12955	122
12956	34
12959	106
12962	11
12964	4
12965	25
12967	830
12968	276
12970	8
12971	86
12973	2
12977	1
12978	10
12983	423
12984	6
12992	5
12995	6
12998	42
12999	16
13000	577
13001	732
13004	203
13005	57
13008	28
13010	84
13018	14
13023	5
13024	11
13025	10
13028	3
13029	3
13030	11
13031	20
13049	9
13053	77
13054	8
13055	87
13056	24
13061	517
12790	14
12791	7
12844	6
12966	3
13064	42
13067	150
13068	14
13070	3
13071	8
13074	21
13076	19
13077	486
13079	12
13081	9
13082	5
14000	8
14037	1093
14042	2
14043	13
14044	104
14065	3
14069	18
14070	21
14071	19
14073	9
17000	6
17005	61
17007	12
17010	4
17015	2
17017	2
17018	372
17019	33
17021	83
17022	5
17023	13
17024	126
17025	38
17027	9
17028	29
17031	9
17033	51
17034	49
17035	4
17036	4
17039	86
17041	3
17045	1152
17047	236
17048	2
17049	16
17050	5
17052	24
17054	46
17056	46
17057	3
17058	154
17060	2
17061	87
17063	17
17065	16
17066	148
17067	10
17068	13
17069	16
17070	13
17071	17
17073	125
17074	144
17075	26
17076	26
17077	21
17078	4
17080	194
17081	85
17084	565
17085	494
17086	21
17087	28
17089	9
17091	5
17092	7
17093	15
17095	18
17096	53
17099	7
17100	126
17101	3
17102	4
17105	3
17106	51
17107	84
17110	24
17111	10
17112	1
17113	3
17115	14
17117	22
17118	6
17120	135
17040	5
17042	17
17121	62
17123	1
17124	12
17125	21
17128	16
17130	30
17131	9
17134	16
17139	1
17140	41
17141	1
17142	9
17143	3
17144	14
17145	10
17147	17
17154	2
18006	6
18007	14
18008	4
18010	15
18011	15
18013	22
18014	21
18016	5
18025	11
18032	13
18033	141
18035	13
18036	86
18037	6
18038	4
18040	53
18043	21
18044	29
18046	75
18058	8
18061	227
18064	9
18065	8
18070	14
18071	4
18072	43
18075	10
18078	1
18079	6
18080	39
18082	6
19600	9
19601	3
19605	7
19606	2
19607	51
19609	19
19610	4
19623	372
19624	15
19632	4
19634	12
19636	6
19637	3
19639	433
19642	12
19645	4
19646	3
19649	3
19650	5
19654	2
19657	4
19661	2
19663	2
19665	4
19666	19
19672	30
19674	3
19683	47
19684	4
19689	98
19690	8
19699	44
19702	7
19704	29
19887	2
19900	5
19901	3
19903	32
19904	215
19905	508
19910	1
20001	6
20003	8
20004	4
20006	6
20007	380
20008	17
20009	13
20012	56
20013	5
20014	767
20015	273
20016	3
20018	6
20019	3
20020	116
20022	6
20023	29
20024	6
20025	116
20027	9
20031	26
20032	41
20033	124
20034	10
20035	65
20036	13
20037	4
20042	75
20044	7
20045	2
20046	2
20052	20
20053	13
20056	48
20057	29
20059	16
20060	14
20062	13
20064	18
20065	1
20068	4
20069	14
20072	10
20073	107
20075	81
20076	2
20079	7
20080	4
20083	25
20084	12
20085	108
20086	23
20088	15
20091	14
20092	172
20095	124
20096	6
20097	16
20099	16
20104	36
20105	42
20106	5
20107	4
20108	15
20109	31
20110	32
20111	43
20112	79
20113	147
20115	7
20116	8
20117	5
20119	5
20120	13
20121	1
20122	31
20123	8
20126	63
20127	147
20128	55
20129	5
20130	311
20131	214
20132	19
20133	2
20134	11
20137	59
20139	62
20143	23
20144	4
20145	25
20148	13
20150	3
20151	384
20152	7
20153	21
20154	311
20155	4
20156	6
20157	36
20158	60
20159	7
20162	64
20163	4
20164	7
20165	7
20166	90
20168	115
20171	133
20172	1
20174	228
20177	6
20179	3
30000	114
30001	386
30002	365
30003	420
30004	115
30005	114
30006	114
30007	335
30008	421
30009	126
30010	115
30011	131
30012	335
30013	161
30014	483
30015	127
30016	129
30017	511
30018	484
30019	116
30020	122
30021	122
30022	113
30023	325
30024	116
30025	415
30026	342
30027	116
30028	324
30029	114
30030	112
30031	111
30032	135
30033	115
30034	145
30035	375
30036	541
30037	391
30038	126
30039	7
30040	113
30041	112
30042	113
30043	471
30044	112
30045	354
30046	113
30047	112
30048	112
30049	382
30050	112
30051	9
100000	85
100001	49
100004	11
100005	38
100006	42
100007	16
100008	51
100009	96
100010	239
100018	9
100027	19
100029	11
100030	19
100033	3
100034	30
100036	45
100037	18
100042	8
100044	452
100052	25
100058	8
100063	60
100067	8
100068	2
100069	321
100070	5
100071	123
100073	3
100074	3
100075	134
100077	384
100079	524
100080	516
100083	6
100097	477
100098	194
100100	45
100101	20
100103	8
100104	5
100107	9
100108	16
100115	1
100117	31
100120	12
100121	7
100122	6
100123	4
100124	6
100126	306
100127	132
100128	10
100129	217
100137	4
100138	13
100139	3
100140	418
100141	1
100142	12
100143	5
100144	30
100145	31
100146	31
100147	19
100151	38
100154	7
100155	71
17149	5
18077	2
19655	9
19907	6
20067	11
20081	3
20094	3
100156	5
100157	17
100158	2
100159	18
100160	1
100163	10
100166	209
100168	64
100171	41
100175	1
100176	4
100177	9
100178	4
100179	3
100186	145
100193	57
100194	8
100198	17
100199	14
100200	6
100202	5
100205	10
100209	5
100211	38
100216	6
100217	172
100218	9
100220	10
100223	17
100224	1
100225	17
100226	22
100229	10
100234	16
100236	2
100237	2
100238	4
100240	7
100241	11
100244	13
100245	5
100246	5
100247	18
100248	17
100249	4
100264	26
100267	16
100270	4
100271	347
100277	7
100278	6
100279	2
100282	10
100286	11
100287	19
100288	11
100290	34
100293	15
100300	6
100301	7
100302	6
100303	9
100304	142
100305	23
100306	1
100307	6
100308	10
100309	5
100312	22
100314	7
100322	1
100323	12
100324	6
100325	70
100326	3
100327	1
100331	5
100334	6
100335	7
100338	24
100339	32
100340	22
100341	20
100342	14
100410	353
100411	329
100412	451
100413	501
100414	104
100415	416
100416	134
100417	539
100418	114
100419	1
100420	1
100421	5
100422	1
100423	5
100424	123
100425	18
100426	24
100427	29
100428	2
100429	30
100430	34
100431	103
100432	212
100433	6
100434	5
100435	12
100436	69
100442	8
100444	13
100445	2
100446	39
100447	125
100448	147
100449	7
100450	31
100452	46
100453	8
100454	15
100455	11
100456	50
100457	12
100459	222
100463	6
100464	12
100465	6
100466	1
100467	34
100468	618
100473	15
100474	18
100475	14
100476	26
100477	2
100478	13
100479	17
100480	11
100481	97
100482	2
100483	12
100484	16
100485	43
100486	45
100568	6
100569	3
100570	3
100571	4
100574	3
100576	3
100577	11
100578	42
100579	145
100586	3
100588	56
100590	8
100591	22
100594	78
100596	46
100597	8
100598	2
100599	13
100600	40
100602	48
100603	1
100604	1
100607	10
100609	11
100610	83
100611	10
100613	21
100616	8
100617	2
100619	6
100620	2
100621	3
100622	18
100624	31
100625	7
100626	19
100627	243
100628	2
100629	9
100630	5
100631	2
100633	19
100635	6
100637	28
100638	3
100639	122
100640	13
100641	2
100642	3
100643	122
100644	2
100645	7
100647	2
100648	1
100649	3
100650	10
100651	7
100653	5
100655	3
100658	3
100659	14
100660	9
100663	12
100664	126
100665	3
100666	42
100668	29
100669	13
100670	4
100671	20
100674	12
100675	100
100676	2
100678	9
100679	18
100681	9
100683	5
100684	3
100685	3
100686	138
100771	26
100772	8
100774	5
100775	5
100776	18
100777	7
100778	5
100779	2
100780	6
100781	25
100783	10
100785	19
100787	14
100788	190
100789	374
100790	133
100792	36
100793	3
100794	6
100795	4
100796	18
100797	38
100798	3
100799	31
100800	6
100801	7
100803	26
100804	26
100805	4
100806	2
100817	14
100818	3
100823	21
100824	113
100825	4
100826	13
100827	117
100828	79
100829	7
100831	2
100833	114
100834	382
100835	132
100836	112
100843	11
100845	421
100846	4
100847	3
100848	28
100849	1
100850	115
100851	302
100852	374
100853	111
100854	350
100855	428
100856	312
100857	103
100858	8
100859	18
100860	38
100861	54
100862	35
100863	112
100864	12
100865	13
100866	6
100867	41
100868	12
100869	5
100871	16
100872	169
100873	10
100874	29
100875	29
100877	18
100878	47
100895	15
100904	15
100905	6
100906	111
100907	112
100908	117
100909	115
100910	9
100911	603
100912	476
100914	112
100917	118
100918	116
100920	2
100921	2
100922	5
100923	1
100924	3
100925	111
100926	28
100927	31
100928	5
100929	21
100930	6
100931	138
100932	5
100933	44
100934	4
100935	37
100939	5
100940	1
100942	8
100943	1
100944	39
100946	17
100947	481
100948	139
100949	118
100951	113
100952	36
100954	42
100956	11
100959	6
100960	23
100962	28
100965	8
100966	3
100968	105
100969	111
100974	107
100975	111
100976	111
100978	1
100979	24
100980	1
100981	5
100983	5
100984	94
100985	6
100986	77
100987	19
100988	51
100170	17
100235	12
100239	5
100280	5
100281	5
100333	1
100667	4
100822	1
100945	1
100955	7
100989	6
100990	115
100991	32
100992	115
100993	112
100995	473
100997	6
100998	5
100999	13
101000	2
101002	111
101003	3
101005	173
101007	16
101008	5
101009	25
101012	20
101013	1
101014	345
101015	4
101016	12
101017	7
101018	248
101019	334
101020	5
101021	39
101022	8
101024	282
101026	70
101027	4
101028	28
101029	3
101030	114
101031	1
101032	114
101033	110
101034	429
101036	13
101040	1
101041	111
101042	3
101043	15
101045	111
101048	108
101049	49
101050	3
101051	5
101053	113
101054	21
101055	114
101056	111
101057	12
101058	350
101060	1
101061	4
101062	8
101063	1
101064	16
101065	7
101066	16
101067	6
101068	20
101069	107
101070	4
101071	14
101073	107
101075	19
101076	11
101077	4
101078	112
101079	122
101081	3
101082	7
101084	3
101085	14
101086	4
101087	2
101089	27
101090	25
101091	12
101092	13
101093	32
101094	4
101095	47
101096	14
101097	35
101099	5
101101	10
101103	38
101105	8
101106	3
101107	45
101110	89
101112	9
101114	5
101115	14
101116	1
101117	19
101118	3
101119	51
101121	25
101122	8
101124	7
101126	2
101127	7
101130	111
101131	466
101132	20
101133	53
101135	2
101139	18
101140	13
101141	22
101142	7
101143	7
101144	22
101145	4
101146	4
101147	3
101148	6
101149	18
101150	2
101151	12
101152	37
101153	5
101156	15
101158	10
101159	340
101160	8
101161	19
101162	23
101163	20
101164	3
101165	72
101166	7
101167	13
101168	11
101169	1
101171	26
101172	7
101173	99
101174	22
101175	2
101176	27
101177	24
101178	4
101179	112
101180	111
101181	33
101182	112
101183	112
101186	7
101187	10
101188	114
101189	7
101191	109
101192	2
101193	10
101194	15
101195	18
101196	10
101197	82
101199	109
101202	10
101203	12
101204	111
101206	1
101207	8
101208	77
101209	4
101210	6
101211	116
101212	6
101213	69
101214	5
101216	8
101217	1
101218	5
101219	29
101220	370
101221	114
101222	110
101223	2
101224	9
101225	111
101226	111
101227	3
101228	9
101229	113
101231	111
101232	12
101233	120
101234	103
101235	10
101236	6
101237	10
101238	13
101239	112
101242	48
101244	5
101245	11
101246	18
101249	2
101250	3
101251	58
101252	17
101253	5
101254	8
101256	3
101259	54
101260	9
101261	5
101262	20
101263	38
101264	10
101266	10
101267	19
101268	12
101269	375
101270	107
101271	133
101272	15
101273	111
101276	26
101277	137
101278	111
101280	5
101281	371
101282	118
101283	69
101284	6
101285	1
101286	7
101287	25
101288	2
101289	1
101291	11
101292	25
101293	1
101294	7
101297	16
101299	5
101300	336
101301	42
101303	6
101305	9
101306	4
101307	12
101308	10
101309	107
101310	12
101311	51
101312	112
101313	6
101316	112
101317	129
101318	9
101319	19
101320	6
101322	27
101323	10
101324	116
101328	3
101329	7
101330	3
101332	129
101333	156
101334	10
101336	1
101337	7
101338	111
101340	120
101341	2
101342	12
